Statistical profiling result from conlog-v8.log, (3625 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.2%  Function: ^authenticate /home/tobias/Documentos/coderCursoBack/clase32/node_modules/passport/lib/middleware/authenticate.js:94:31
      1    0.0%    0.2%  Function: ^afterWriteTick node:internal/streams/writable:482:24
      1    0.0%    0.2%  Function: ^addition32 /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/utils/mersenne.js:1:811
      1    0.0%    0.2%  Function: ^_unrefTimer node:net:431:52
      1    0.0%    0.2%  Function: ^_flush node:_http_outgoing:934:51
      1    0.0%    0.2%  Function: ^_dump node:_http_incoming:364:49
      1    0.0%    0.2%  Function: ^Writable.uncork node:internal/streams/writable:341:37
      1    0.0%    0.2%  Function: ^ServerResponse node:_http_server:178:24
      1    0.0%    0.2%  Function: ^Readable.removeListener node:internal/streams/readable:904:45
      1    0.0%    0.2%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      1    0.0%    0.2%  Function: ^<anonymous> node:internal/validators:191:40
      1    0.0%    0.2%  Function: ^<anonymous> node:internal/validators:168:39
      1    0.0%    0.2%  Function: ^<anonymous> node:internal/fs/utils:669:38

 [C++]:
   ticks  total  nonlib   name
    220    6.1%   33.1%  __write@@GLIBC_2.2.5
     82    2.3%   12.3%  fwrite@@GLIBC_2.2.5
     55    1.5%    8.3%  epoll_pwait@@GLIBC_2.6
     31    0.9%    4.7%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     23    0.6%    3.5%  syscall@@GLIBC_2.2.5
     18    0.5%    2.7%  __libc_malloc@@GLIBC_2.2.5
     17    0.5%    2.6%  _IO_file_xsputn@@GLIBC_2.2.5
     10    0.3%    1.5%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      8    0.2%    1.2%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      8    0.2%    1.2%  pthread_cond_signal@@GLIBC_2.3.2
      7    0.2%    1.1%  __pthread_mutex_lock@GLIBC_2.2.5
      7    0.2%    1.1%  __mprotect@@GLIBC_PRIVATE
      6    0.2%    0.9%  __pthread_mutex_unlock@GLIBC_2.2.5
