Statistical profiling result from sinlog-v8.log, (3690 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     69    1.9%   10.3%  fwrite@@GLIBC_2.2.5
     53    1.4%    7.9%  epoll_pwait@@GLIBC_2.6
     32    0.9%    4.8%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     22    0.6%    3.3%  syscall@@GLIBC_2.2.5
     18    0.5%    2.7%  _IO_file_xsputn@@GLIBC_2.2.5
     14    0.4%    2.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     13    0.4%    1.9%  __mprotect@@GLIBC_PRIVATE
     13    0.4%    1.9%  __libc_malloc@@GLIBC_2.2.5
     10    0.3%    1.5%  pthread_cond_signal@@GLIBC_2.3.2
      8    0.2%    1.2%  cfree@GLIBC_2.2.5
      7    0.2%    1.0%  __read@@GLIBC_2.2.5
      5    0.1%    0.7%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      5    0.1%    0.7%  operator new(unsigned long)@@GLIBCXX_3.4
      5    0.1%    0.7%  __open@@GLIBC_2.2.5
      4    0.1%    0.6%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      4    0.1%    0.6%  __pthread_mutex_unlock@GLIBC_2.2.5
      4    0.1%    0.6%  __pthread_mutex_lock@GLIBC_2.2.5
      4    0.1%    0.6%  __munmap@@GLIBC_PRIVATE
      3    0.1%    0.4%  __pthread_rwlock_unlock@GLIBC_2.2.5
      3    0.1%    0.4%  __clock_gettime@@GLIBC_PRIVATE
      2    0.1%    0.3%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      2    0.1%    0.3%  __mmap@@GLIBC_PRIVATE
      2    0.1%    0.3%  _IO_do_write@@GLIBC_2.2.5
      1    0.0%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.0%    0.1%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)@@GLIBCXX_3.4.9
      1    0.0%    0.1%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const@@GLIBCXX_3.4.18
      1    0.0%    0.1%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)@@GLIBCXX_3.4.15
      1    0.0%    0.1%  operator new[](unsigned long, std::nothrow_t const&)@@GLIBCXX_3.4
      1    0.0%    0.1%  operator delete[](void*)@@GLIBCXX_3.4
      1    0.0%    0.1%  operator delete(void*)@@GLIBCXX_3.4
